NAME,"Batter ID",Year,Outs,"1B Runner","2B Runner","3B Runner","Batter Dest.","1B Runner Dest.","2B Runner Dest.","3B Runner Dest","Start Bases","End Bases","Event Runs","Event Outs"
"Erick Aybar",aybae001,2010,0,,,,1,0,0,0,0,1,0,0
"Erick Aybar",aybae001,2010,0,,,,1,0,0,0,0,1,0,0
"Erick Aybar",aybae001,2010,0,,,,1,0,0,0,0,1,0,0
"Erick Aybar",aybae001,2010,0,,,,1,0,0,0,0,1,0,0
"Bobby Abreu",abreb001,2010,0,aybae001,,,0,1,0,0,1,1,0,1
"Bobby Abreu",abreb001,2010,0,aybae001,,,0,1,0,0,1,1,0,1
"Bobby Abreu",abreb001,2010,0,aybae001,,,0,1,0,0,1,1,0,1
"Bobby Abreu",abreb001,2010,0,aybae001,,,0,1,0,0,1,1,0,1
"Torii Hunter",huntt001,2010,1,aybae001,,,0,2,0,0,1,2,0,0
"Torii Hunter",huntt001,2010,1,aybae001,,,0,2,0,0,1,2,0,0
"Torii Hunter",huntt001,2010,1,aybae001,,,0,2,0,0,1,2,0,0
"Torii Hunter",huntt001,2010,1,aybae001,,,0,2,0,0,1,2,0,0
"Torii Hunter",huntt001,2010,1,,aybae001,,1,0,2,0,2,3,0,0
"Torii Hunter",huntt001,2010,1,,aybae001,,1,0,2,0,2,3,0,0
"Torii Hunter",huntt001,2010,1,,aybae001,,1,0,2,0,2,3,0,0
"Torii Hunter",huntt001,2010,1,,aybae001,,1,0,2,0,2,3,0,0
"Hideki Matsui",matsh001,2010,1,huntt001,aybae001,,0,1,2,0,3,3,0,1
"Hideki Matsui",matsh001,2010,1,huntt001,aybae001,,0,1,2,0,3,3,0,1
"Hideki Matsui",matsh001,2010,1,huntt001,aybae001,,0,1,2,0,3,3,0,1
"Kendry Morales",morak001,2010,2,huntt001,aybae001,,1,2,4,0,3,3,1,0
"Kendrys Morales",morak001,2010,2,huntt001,aybae001,,1,2,4,0,3,3,1,0
"Kendrys Morales",morak001,2010,2,huntt001,aybae001,,1,2,4,0,3,3,1,0
"Juan Rivera",rivej001,2010,2,morak001,huntt001,,1,2,4,0,3,3,1,0
"Juan Rivera",rivej001,2010,2,morak001,huntt001,,1,2,4,0,3,3,1,0
"Juan Rivera",rivej001,2010,2,morak001,huntt001,,1,2,4,0,3,3,1,0
"Juan Rivera",rivej001,2010,2,morak001,huntt001,,1,2,4,0,3,3,1,0
"Howard Kendrick",kendh001,2010,2,rivej001,morak001,,0,1,2,0,3,3,0,1
"Howard Kendrick",kendh001,2010,2,rivej001,morak001,,0,1,2,0,3,3,0,1
"Howard Kendrick",kendh001,2010,2,rivej001,morak001,,0,1,2,0,3,3,0,1
"Howard Kendrick",kendh001,2010,2,rivej001,morak001,,0,1,2,0,3,3,0,1
"Justin Morneau",mornj001,2010,0,,,,1,0,0,0,0,1,0,0
"Justin Morneau",mornj001,2010,0,,,,1,0,0,0,0,1,0,0
"Justin Morneau",mornj001,2010,0,,,,1,0,0,0,0,1,0,0
"Justin Morneau",mornj001,2010,0,,,,1,0,0,0,0,1,0,0
"Justin Morneau",mornj001,2010,0,,,,1,0,0,0,0,1,0,0
"Michael Cuddyer",cuddm001,2010,0,mornj001,,,0,1,0,0,1,1,0,1
"Michael Cuddyer",cuddm001,2010,0,mornj001,,,0,1,0,0,1,1,0,1
"Michael Cuddyer",cuddm001,2010,0,mornj001,,,0,1,0,0,1,1,0,1
"Michael Cuddyer",cuddm001,2010,0,mornj001,,,0,1,0,0,1,1,0,1
